result_id,driver_id,numero,position,points
758,15,8,16,0
759,33,18,17,0
760,11,22,18,0
761,34,23,0,0
762,35,17,0,0
763,21,2,0,0
764,27,19,0,0
765,21,2,1,10
766,4,1,2,8
767,18,12,3,6
768,31,4,4,5
769,13,6,5,4
770,30,5,6,3
771,35,17,7,2
772,23,7,8,1
773,15,8,9,0
774,22,11,10,0
775,24,20,11,0
776,27,19,12,0
777,33,18,13,0
778,11,22,14,0
779,2,16,0,0
780,26,21,0,0
781,34,23,0,0
782,32,15,0,0
783,17,9,0,0
784,14,14,0,0
785,3,10,0,0
786,8,3,0,0
787,4,1,1,10
788,8,3,2,8
789,23,7,3,6
790,2,16,4,5
791,21,2,5,4
792,35,17,6,3
793,22,11,7,2
794,14,14,8,1
795,26,21,9,0
796,18,12,10,0
797,27,19,11,0
798,11,22,12,0
799,34,23,13,0
800,31,4,0,0
801,33,18,0,0
802,24,20,0,0
803,30,5,0,0
804,17,9,0,0
805,32,15,0,0
806,15,8,0,0
807,3,10,0,0
808,13,6,0,0
809,30,5,1,10
810,4,1,2,8
811,31,4,3,6
812,13,6,4,5
813,8,3,5,4
814,17,9,6,3
815,18,12,7,2
816,21,2,8,1
817,23,7,9,0
818,22,11,10,0
819,3,10,11,0
820,35,17,12,0
821,2,16,13,0
822,24,20,14,0
823,26,21,15,0
824,33,18,16,0
825,14,14,0,0
826,11,22,0,0
827,32,15,0,0
828,34,23,0,0
829,15,8,0,0
830,27,19,0,0
831,30,5,1,10
832,4,1,2,8
833,13,6,3,6
834,8,3,4,5
835,22,11,5,4
836,21,2,6,3
837,3,10,7,2
838,35,17,8,1
839,15,8,9,0
840,2,16,10,0
841,26,21,11,0
842,33,18,12,0
843,27,19,13,0
844,23,7,0,0
845,31,4,0,0
846,11,22,0,0
847,36,23,0,0
848,18,12,0,0
849,32,15,0,0
850,17,9,0,0
851,14,14,0,0
852,24,20,0,0
853,4,1,1,10
854,30,5,2,8
855,21,2,3,6
856,13,6,4,5
857,8,3,5,4
858,18,12,6,3
859,22,11,7,2
860,2,16,8,1
861,17,9,9,0
862,15,8,10,0
863,3,10,11,0
864,35,17,12,0
865,32,15,13,0
866,14,14,14,0
867,24,20,15,0
868,33,18,16,0
869,11,22,17,0
870,27,19,0,0
871,26,21,0,0
872,23,7,0,0
873,31,4,0,0
874,36,23,0,0
875,4,1,1,10
876,31,4,2,8
877,14,14,3,6
878,22,11,4,5
879,30,5,5,4
880,21,2,6,3
881,2,16,7,2
882,23,7,8,1
883,13,6,9,0
884,24,20,10,0
885,18,12,11,0
886,27,19,12,0
887,26,21,13,0
888,35,17,14,0
889,33,18,15,0
890,36,23,16,0
891,15,8,17,0
892,32,15,0,0
893,3,10,0,0
894,8,3,0,0
895,17,9,0,0
896,11,22,0,0
897,4,1,1,10
898,30,5,2,8
899,8,3,3,6
900,21,2,4,5
901,13,6,5,4
902,31,4,6,3
903,2,16,7,2
904,35,17,8,1
905,3,10,9,0
906,22,11,10,0
907,15,8,11,0
908,14,14,12,0
909,24,20,13,0
910,32,15,14,0
911,27,19,15,0
912,33,18,16,0
913,11,22,17,0
914,36,23,18,0
915,18,12,0,0
916,26,21,0,0
917,23,7,0,0
918,17,9,0,0
919,4,1,1,10
920,30,5,2,8
921,8,3,3,6
922,21,2,4,5
923,13,6,5,4
924,15,8,6,3
925,2,16,7,2
926,14,14,8,1
927,18,12,9,0
928,26,21,10,0
929,32,15,11,0
930,17,9,12,0
931,24,20,13,0
932,33,18,14,0
933,11,22,15,0
934,35,17,0,0
935,23,7,0,0
936,31,4,0,0
937,22,11,0,0
938,36,23,0,0
939,3,10,0,0
940,27,19,0,0
941,30,5,1,10
942,13,6,2,8
943,21,2,3,6
944,15,8,4,5
945,4,1,5,4
946,22,11,6,3
947,14,14,7,2
948,24,20,8,1
949,3,10,9,0
950,23,7,0,0
951,27,19,0,0
952,35,17,0,0
953,33,18,0,0
954,11,22,0,0
955,18,12,0,0
956,8,3,0,0
957,2,16,0,0
958,31,4,0,0
959,17,9,0,0
960,26,21,0,0
961,32,15,0,0
962,36,23,0,0
963,30,5,1,10
964,4,1,2,8
965,13,6,3,6
966,23,7,4,5
967,8,3,5,4
968,21,2,6,3
969,37,4,7,2
970,2,16,8,1
971,14,14,9,0
972,26,21,10,0
973,35,17,11,0
974,32,15,12,0
975,24,20,13,0
976,3,10,14,0
977,27,19,15,0
978,36,23,16,0
979,18,12,0,0
980,17,9,0,0
981,15,8,0,0
982,22,11,0,0
983,33,18,0,0
984,11,22,0,0
985,30,5,1,10
986,13,6,2,8
987,8,3,3,6
988,18,12,4,5
989,4,1,5,4
990,21,2,6,3
991,15,8,7,2
992,32,15,8,1
993,23,7,9,0
994,24,20,10,0
995,14,14,11,0
996,26,21,12,0
997,17,9,0,0
998,11,22,0,0
999,35,17,0,0
1000,22,11,0,0
